link,title,location,company_name,description,post_time
https://wuzzuf.net//jobs/p/evc88fMqN4po-Oracle-Database-Administrator-Expleo-Cairo-Egypt?o=44&l=sp&t=sj&a=data science|search-v3|hpb,Oracle Database Administrator,"Maadi, Cairo, Egypt ",Expleo -,Full Time Experienced · 5 - 10 Yrs of Exp · IT/Software Development · DBA · Database · Oracle · Information Technology (IT) · Data Backup · Integrity · Recovery · Security · SQL,1 month ago
https://wuzzuf.net//jobs/p/8vR5EymXDsTh-Business-Analyst-Egabi-FSI-Cairo-Egypt?o=45&l=sp&t=sj&a=data science|search-v3|hpb,Business Analyst,"Sheraton, Cairo, Egypt ",Egabi FSI -,Full Time Entry Level · 1 - 4 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Business Analyst · Computer Science · Business Analysis · Information Technology (IT) · English · Data Analysis · Testing,1 month ago
https://wuzzuf.net//jobs/p/mJYAnMhwmIpQ-IT-Specialist-Rockal-Cairo-Egypt?o=46&l=sp&t=sj&a=data science|search-v3|hpb,IT Specialist,"Nasr City, Cairo, Egypt ",Rockal -,Full Time Entry Level · 0 - 2 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Technical Support · Computer Engineering · Network Administration · Installation · Networking,1 month ago
https://wuzzuf.net//jobs/p/yhXbcd0M8byl-Research-Software-Development-Engineer-L2-TensorGraph-Cairo-Egypt?o=47&l=sp&t=sj&a=data science|search-v3|hpb,Research Software Development Engineer L2,"Maadi, Cairo, Egypt ",TensorGraph -,Full Time Experienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Machine Learning · NodeJS · Python · AWS · Algorithms · Data Structures,1 month ago
https://wuzzuf.net//jobs/p/Lx5BxAjfSNwp-Sr-Business-Analyst-Ejada-Cairo-Egypt?o=48&l=sp&t=sj&a=data science|search-v3|hpb,Sr Business Analyst,"Heliopolis, Cairo, Egypt ",Ejada  -,Full Time Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Business Analysis · business · Analysis · Communication skills · Computer Science · Data · Documentation · Information Technology (IT),1 month ago
https://wuzzuf.net//jobs/p/aIjqz6x1xp98-IT-Manager-Morcos-Cairo-Egypt?o=49&l=sp&t=sj&a=data science|search-v3|hpb,IT Manager,"10th of Ramadan City, Cairo, Egypt ",Morcos -,Full Time Manager · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · IT · Computer Science · Information Technology (IT) · networks · Operations · Software · computer · Computer Hardware,3 days ago
https://wuzzuf.net//jobs/p/PfAuiUBT66oR-Artificial-Intelligence-Engineer-Arabia-for-Information-Technology-Cairo-Egypt?o=50&l=sp&t=sj&a=data science|search-v3|hpb,Artificial Intelligence Engineer,"Cairo, Egypt ",Arabia for Information Technology -,Full Time Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Computer Science · Software Development · Information Technology (IT) · Framework · Engineering · English · Communication,7 days ago
https://wuzzuf.net//jobs/p/DnqpKobttUpn-Information-Security-Senior-Supervisor-Xceed-Cairo-Egypt?o=51&l=sp&t=sj&a=data science|search-v3|hpb,Information Security Senior Supervisor,"Maadi, Cairo, Egypt ",Xceed -,Full Time Manager · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · CISA · CISM · ISO · Communication,1 month ago
https://wuzzuf.net//jobs/p/oJcwhXtUwuoe-Senior-IOS-Developer-Moddakir-Cairo-Egypt?o=52&l=sp&t=sj&a=data science|search-v3|hpb,Senior IOS Developer,"Cairo, Egypt ",Moddakir -,Full Time Experienced · 5+ Yrs of Exp · IT/Software Development · Computer Science · Software Engineering · Mobile Development · iOS Development · Software Development · Swift · Objective-C,1 day ago
https://wuzzuf.net//jobs/p/1xVvqw4mUtB5-Frontend-Developer---Angular2-Moddakir-Cairo-Egypt?o=53&l=sp&t=sj&a=data science|search-v3|hpb,Frontend Developer - Angular+2,"Cairo, Egypt ",Moddakir -,Full Time Experienced · 3+ Yrs of Exp · IT/Software Development · Computer Science · Software Engineering · Software Development · JavaScript · Typescript · Angular+2 · Angular · CSS · SCSS,1 day ago
https://wuzzuf.net//jobs/p/8utkBbbUHwff-Senior-Devops-Engineer-Trufla-Cairo-Egypt?o=54&l=sp&t=sj&a=data science|search-v3|hpb,Senior Devops Engineer,"Heliopolis, Cairo, Egypt ",Trufla -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Azure · Cloud · Computer Science · Docker · Engineering · Information Technology (IT) · Linux,1 day ago
https://wuzzuf.net//jobs/p/UaL4hHt8FLoD-IT-Manager-Cairo-Egypt?o=55&l=sp&t=sj&a=data science|search-v3|hpb,IT Manager,"Nasr City, Cairo, Egypt ",Confidential -,Full Time Manager · 7 - 10 Yrs of Exp · males_preferred · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Administration · Computer Engineering · Computer Science · Computer Hardware · Information Technology (IT) · Software,9 days ago
https://wuzzuf.net//jobs/p/41m9RwsYViJr-Senior-Devops-Engineer-Cairo-Egypt?o=56&l=sp&t=sj&a=data science|search-v3|hpb,Senior Devops Engineer,"Nasr City, Cairo, Egypt ",Confidential -,Full Time Work From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Java · DevOps · Engineering · Computer Science · Communication skills · Docker · Jenkins · Information Technology (IT),5 days ago
https://wuzzuf.net//jobs/p/5FHo60NJdC75-Mobile-Application-Developer-MegaSoft-Cairo-Egypt?o=57&l=sp&t=sj&a=data science|search-v3|hpb,Mobile Application Developer,"Heliopolis, Cairo, Egypt ",MegaSoft -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · java · English · Software · Design,1 month ago
https://wuzzuf.net//jobs/p/SgNGiaYoZNcy-Senior-Products-Manager-almentor-Cairo-Egypt?o=58&l=sp&t=sj&a=data science|search-v3|hpb,Senior Products Manager,"Maadi, Cairo, Egypt ",almentor -,Full Time Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Communication skills · Computer Science · Information Technology (IT),17 days ago
https://wuzzuf.net//jobs/p/95YPwdxl7Wew-Quality-Assurance-Analyst-Globaction-Giza-Egypt?o=59&l=sp&t=sj&a=data science|search-v3|hpb,Quality Assurance Analyst,"6th of October, Giza, Egypt ",Globaction -,Full Time Experienced · 2 - 10 Yrs of Exp · R&D/Science · Quality · Analyst/Research · quality · Quality Control · Data · Six Sigma · Data Analysis · ISO 9001 · Black Belt,4 days ago
https://wuzzuf.net//jobs/p/WBHqaf7WeZYe-Senior-Python-Developer-Trufla-Cairo-Egypt?o=60&l=sp&t=sj&a=data science|search-v3|hpb,Senior Python Developer,"Heliopolis, Cairo, Egypt ",Trufla -,Full Time Experienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Information Technology (IT) · Linux · Python,2 days ago
https://wuzzuf.net//jobs/p/kSOKspgXqM5E-Regulatory-Affairs-Specialist-Cairo-Egypt?o=61&l=sp&t=sj&a=data science|search-v3|hpb,Regulatory Affairs Specialist,"Cairo, Egypt ",Confidential -,Full Time Experienced · 2 - 15 Yrs of Exp · Administration · R&D/Science · Medical/Healthcare · Medical Devices · Regulatory Affairs · Life Science · Medical,2 days ago
